
Bogført;Tekst;Rentedato;Beløb;Saldo
03-06-2009;Bgs Lønkonto;03-06-2009;-10000,00;39433,75
03-06-2009;Visa køb USD      46,93            Visa køb i udlandet;29-05-2009;-251,56;49433,75
03-06-2009;Overførsel, med.nr. 02757017509153 Biokemisk Forening;03-06-2009;937,50;49685,31
02-06-2009;2009005;03-06-2009;375,00;48747,81
02-06-2009;Bs betaling TRYG;02-06-2009;-8277,00;48372,81
02-06-2009;Bgs Telia Danmark;02-06-2009;-638,00;56649,81
29-05-2009;2009003;02-06-2009;60812,50;57287,81
29-05-2009;Bgs Lånt fra privatkonto;29-05-2009;-3000,00;-3524,69
28-05-2009;Bgs ScanNet;28-05-2009;-1867,50;-524,69
27-05-2009;Bgs Lån fra privatkonto;26-05-2009;3000,00;1342,81
27-05-2009;Bgs Gazebo (20080086);26-05-2009;-3687,50;-1657,19
27-05-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 24.05;26-05-2009;-64,74;2030,31
20-05-2009;Bs betaling BETALINGSCENTRET;20-05-2009;-109,00;2095,05
12-05-2009;Visa køb USD      12,00            Visa køb i udlandet;07-05-2009;-67,89;2204,05
05-05-2009;Visa køb USD       9,95            WUFOO COM CHARGE   8               Den 01.05;01-05-2009;-56,58;2271,94
04-05-2009;Bgs Betaling af Faktura            2009002;05-05-2009;375,00;2328,52
04-05-2009;Bgs Betaling af faktura            2009004;05-05-2009;2483,90;1953,52
04-05-2009;Visa køb USD      41,76            GOOGLE *LTD ADWORDS                Den 30.04;01-05-2009;-237,82;-530,38
01-05-2009;Bs betaling BONNIER PUBLICATIONS;01-05-2009;-248,00;-292,56
01-05-2009;Bgs Telia Danmark;01-05-2009;-826,80;-44,56
28-04-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 24.04;24-04-2009;-68,57;782,24
22-04-2009;Bgs Fejloverførsel;22-04-2009;-7692,40;850,81
22-04-2009;OVERF                              Meddelnr. 02323879309111           BOFA RE PAYPAL INTER;22-04-2009;7692,40;8543,21
20-04-2009;Bs betaling BETALINGSCENTRET;20-04-2009;-109,00;850,81
16-04-2009;Bgs Kapitaltilførsel;16-04-2009;1000,00;959,81
15-04-2009;Visa køb USD      12,00            IRIDESCO   212-22641               Den 08.04;08-04-2009;-68,59;-40,19
15-04-2009;Dankort-nota Fullrate A/S   30073;14-04-2009;-13,20;28,40
06-04-2009;Visa køb USD       9,95            WUFOO COM CHARGE   8               Den 01.04;03-04-2009;-56,19;41,60
02-04-2009;Visa køb USD      74,40            GOOGLE *LTD ADWORDS                Den 31.03;01-04-2009;-422,65;97,79
27-03-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 24.03;26-03-2009;-67,23;520,44
20-03-2009;Bs betaling BETALINGSCENTRET;20-03-2009;-109,00;587,67
12-03-2009;Udbytte 20090310070586  NTRF       US5949181045;12-03-2009;289,23;696,67
02-03-2009;Bs betaling BONNIER PUBLICATIONS;02-03-2009;-248,00;407,44
27-02-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 24.02;26-02-2009;-70,92;655,44
20-02-2009;Bs betaling BETALINGSCENTRET;20-02-2009;-109,00;726,36
27-01-2009;Visa køb USD      12,00            GITHUB   415-291-022               Den 24.01;26-01-2009;-70,95;835,36
20-01-2009;Bs betaling BETALINGSCENTRET;20-01-2009;-109,00;906,31
31-12-2008;Renter;01-01-2009;9,84;1015,31
30-12-2008;Visa køb USD      12,00            Visa køb i udlandet;23-12-2008;-64,95;1005,47
